Repair Times
1.37
2.38
3.52
0.98
2.48
11.83
0.23
3.62
1.28
5.28
0.65
3.23
8.35
0.25
6.03
4.85
5.77
66.42
0.57
2.97
28.1
0.13
0.12
36.1
