BKL380_KIJ380,VHZ380_BWK380a,VHZ380_BWK380b,KIJ380_OZN380,KIJ380_GT380a,KIJ380_GT380b
-481.9,-65.1,-65.1,128.7,322.1,322.1
-322.1,10.5,10.5,61.1,268.0,268.0
-399.1,19.4,19.4,90.9,70.5,70.5
-424.6,15.0,15.0,81.6,367.7,367.7
-453.1,23.1,23.1,82.7,474.2,474.2
-433.9,52.7,52.7,60.6,616.9,616.9
-445.1,111.5,111.5,21.3,610.6,610.6
-382.0,118.7,118.7,5.3,545.0,545.0
-285.4,169.6,169.6,-41.5,566.9,566.9
-271.8,143.5,143.5,-40.8,671.5,671.5
-275.7,95.0,95.0,-18.5,607.8,607.8
-294.5,101.5,101.5,-15.8,598.6,598.6
-374.9,93.2,93.2,13.0,509.4,509.4
-377.5,61.2,61.2,29.3,350.0,350.0
-446.3,-29.9,-29.9,78.9,354.2,354.2
-423.8,-38.1,-38.1,79.3,255.2,255.2
-199.8,99.6,99.6,-35.3,142.3,142.3
-140.7,100.2,100.2,-48.7,67.4,67.4
-99.1,102.7,102.7,-54.9,-43.3,-43.3
-74.0,80.7,80.7,-70.6,152.4,152.4
-100.5,41.3,41.3,-48.4,94.8,94.8
-61.9,61.6,61.6,-73.9,173.2,173.2
-118.1,38.4,38.4,-46.4,122.1,122.1
-343.8,-97.4,-97.4,65.0,172.9,172.9
-408.7,-87.9,-87.9,97.2,-165.8,-165.8
-218.9,28.4,28.4,22.6,-523.3,-523.3
-231.9,18.8,18.8,29.4,-491.1,-491.1
-221.2,0.9,0.9,34.0,-479.9,-479.9
-127.2,31.9,31.9,-6.8,-384.2,-384.2
63.4,74.8,74.8,-62.3,-336.5,-336.5
-156.1,-73.3,-73.3,58.9,172.1,172.1
-275.6,-137.8,-137.8,116.7,204.1,204.1
-192.5,-103.7,-103.7,74.6,331.3,331.3
-258.4,-138.3,-138.3,111.1,236.1,236.1
-233.0,-134.5,-134.5,102.7,225.7,225.7
-328.8,-220.6,-220.6,145.4,516.7,516.7
-467.6,-290.7,-290.7,215.1,249.8,249.8
-470.8,-300.4,-300.4,206.7,176.2,176.2
-485.1,-320.7,-320.7,225.9,-26.6,-26.6
-172.9,-130.2,-130.2,87.9,-510.8,-510.8
-149.4,-110.2,-110.2,79.8,-626.9,-626.9
-112.5,-91.4,-91.4,59.7,-576.5,-576.5
-210.0,-120.6,-120.6,101.1,-623.5,-623.5
-205.1,-111.2,-111.2,90.1,-510.8,-510.8
-334.9,-160.8,-160.8,138.1,-372.7,-372.7
-644.6,-309.1,-309.1,259.1,46.2,46.2
-681.8,-274.7,-274.7,260.6,-15.4,-15.4
-746.2,-258.9,-258.9,265.2,136.8,136.8
-821.4,-261.2,-261.2,279.8,278.3,278.3
-537.9,-139.5,-139.5,166.6,64.5,64.5
-401.1,-68.6,-68.6,109.6,-52.6,-52.6
-251.1,8.9,8.9,50.2,-240.0,-240.0
-378.4,-70.5,-70.5,93.8,221.1,221.1
-251.7,-12.9,-12.9,46.7,230.0,230.0
-317.3,-114.6,-114.6,103.8,410.0,410.0
-350.1,-142.7,-142.7,131.5,364.6,364.6
-313.8,-135.3,-135.3,120.8,233.5,233.5
-185.8,-66.3,-66.3,52.4,481.0,481.0
-195.3,-73.6,-73.6,56.9,395.2,395.2
-316.3,-117.8,-117.8,112.8,457.0,457.0
-423.2,-180.9,-180.9,156.0,594.2,594.2
-426.4,-199.1,-199.1,166.0,469.1,469.1
-444.2,-205.7,-205.7,163.8,406.2,406.2
-428.9,-176.0,-176.0,145.7,433.8,433.8
-444.4,-176.2,-176.2,150.3,424.9,424.9
-334.2,-107.0,-107.0,106.0,194.7,194.7
-525.0,-209.0,-209.0,171.8,392.8,392.8
-525.8,-218.6,-218.6,177.4,362.0,362.0
-532.9,-195.3,-195.3,173.4,319.7,319.7
-575.3,-152.6,-152.6,176.1,206.7,206.7
-513.7,-136.3,-136.3,160.8,542.4,542.4
-688.7,-136.5,-136.5,219.4,371.5,371.5
-614.4,-44.9,-44.9,168.0,300.1,300.1
-328.8,132.8,132.8,37.1,2.0,2.0
-224.8,189.7,189.7,-4.2,-146.3,-146.3
-303.8,152.8,152.8,32.1,-121.2,-121.2
-289.2,119.0,119.0,22.7,254.7,254.7
-299.7,27.0,27.0,38.2,506.6,506.6
-580.6,-44.9,-44.9,142.1,575.9,575.9
-595.0,-5.8,-5.8,123.5,597.5,597.5
-418.8,140.7,140.7,26.3,480.6,480.6
-433.2,151.3,151.3,24.1,531.5,531.5
-453.7,138.8,138.8,37.2,470.1,470.1
-643.9,-15.2,-15.2,144.3,499.7,499.7
-698.0,-63.5,-63.5,187.9,415.0,415.0
-544.3,-34.6,-34.6,131.5,385.0,385.0
-556.5,-102.5,-102.5,149.8,528.4,528.4
-409.3,-14.3,-14.3,68.3,653.4,653.4
-310.1,107.7,107.7,18.7,221.8,221.8
-178.6,213.8,213.8,-46.4,15.3,15.3
-197.9,231.9,231.9,-49.5,70.8,70.8
-276.6,194.3,194.3,-24.4,285.1,285.1
-287.1,187.9,187.9,-19.1,285.5,285.5
-271.3,175.3,175.3,-21.1,324.3,324.3
-191.9,205.6,205.6,-57.6,376.2,376.2
-286.8,168.3,168.3,-14.0,327.9,327.9
-416.9,124.2,124.2,27.5,290.6,290.6
-390.9,144.7,144.7,10.0,330.0,330.0
-260.7,259.4,259.4,-58.8,163.9,163.9
-214.1,279.8,279.8,-70.8,201.7,201.7
-108.1,293.3,293.3,-101.4,207.9,207.9
-25.1,282.9,282.9,-119.6,127.7,127.7
-55.0,253.4,253.4,-98.5,191.7,191.7
-85.1,206.0,206.0,-97.7,562.0,562.0
-32.7,250.0,250.0,-114.3,298.7,298.7
5.2,259.3,259.3,-121.8,179.4,179.4
-310.5,79.6,79.6,14.5,545.8,545.8
-597.3,-46.0,-46.0,145.6,625.8,625.8
-555.0,-3.2,-3.2,115.2,620.5,620.5
-420.1,59.7,59.7,50.2,616.1,616.1
-332.4,75.6,75.6,26.5,418.2,418.2
-93.9,186.2,186.2,-85.2,277.1,277.1
-93.0,180.0,180.0,-81.7,242.4,242.4
32.1,276.5,276.5,-136.2,-73.9,-73.9
64.0,287.7,287.7,-151.8,-17.6,-17.6
-6.2,219.8,219.8,-105.7,141.7,141.7
-2.2,247.0,247.0,-118.9,187.2,187.2
-68.6,243.6,243.6,-109.1,391.3,391.3
-205.6,207.1,207.1,-53.1,332.7,332.7
-245.1,210.1,210.1,-31.9,117.4,117.4
-104.3,257.2,257.2,-95.2,211.0,211.0
-163.4,120.0,120.0,-14.1,-68.5,-68.5
-201.9,29.5,29.5,15.0,-110.4,-110.4
-212.5,-35.5,-35.5,48.1,-181.9,-181.9
-87.3,20.2,20.2,-1.5,-256.2,-256.2
89.6,90.4,90.4,-76.8,-253.7,-253.7
160.2,105.2,105.2,-77.3,-310.2,-310.2
218.7,120.2,120.2,-114.6,18.6,18.6
115.9,52.6,52.6,-69.0,199.9,199.9
295.9,155.1,155.1,-144.2,-131.2,-131.2
120.3,60.5,60.5,-68.0,115.6,115.6
-132.0,-92.3,-92.3,45.4,395.0,395.0
-159.9,-112.0,-112.0,60.6,379.3,379.3
-290.3,-207.0,-207.0,123.3,519.0,519.0
-185.6,-157.9,-157.9,85.6,275.3,275.3
-104.5,-98.9,-98.9,65.3,-236.2,-236.2
178.3,38.3,38.3,-66.6,-235.4,-235.4
188.7,58.2,58.2,-65.3,-462.3,-462.3
218.5,74.9,74.9,-81.8,-414.1,-414.1
254.9,107.3,107.3,-98.5,-506.8,-506.8
102.9,45.6,45.6,-25.3,-626.8,-626.8
-49.3,-51.5,-51.5,22.1,-141.8,-141.8
-201.9,-148.1,-148.1,87.0,118.2,118.2
-439.1,-274.7,-274.7,198.1,154.7,154.7
-166.1,-93.0,-93.0,77.0,-319.0,-319.0
69.5,31.7,31.7,-17.8,-553.0,-553.0
70.4,17.5,17.5,-29.1,-230.4,-230.4
-5.6,-6.0,-6.0,1.8,-209.1,-209.1
101.2,48.7,48.7,-58.9,14.0,14.0
-37.9,12.8,12.8,7.7,-230.2,-230.2
-155.4,-57.0,-57.0,60.6,-116.0,-116.0
-225.8,-118.9,-118.9,82.7,308.6,308.6
113.3,100.4,100.4,-70.2,-134.4,-134.4
172.3,126.8,126.8,-99.4,-248.1,-248.1
204.3,139.1,139.1,-115.1,-203.4,-203.4
38.2,20.8,20.8,-42.8,146.9,146.9
-117.9,-77.5,-77.5,28.8,310.6,310.6
-59.1,-59.8,-59.8,6.8,278.4,278.4
-157.5,-111.8,-111.8,64.5,208.2,208.2
-126.6,-115.4,-115.4,54.6,241.2,241.2
75.2,-1.7,-1.7,-34.6,-32.6,-32.6
253.0,108.8,108.8,-114.7,-292.2,-292.2
296.7,118.0,118.0,-125.7,-358.1,-358.1
282.6,120.0,120.0,-123.7,-476.4,-476.4
283.6,142.3,142.3,-137.0,-374.2,-374.2
245.2,149.4,149.4,-131.1,-319.1,-319.1
39.9,72.6,72.6,-42.4,-136.2,-136.2
-167.3,-49.1,-49.1,31.7,396.0,396.0
-256.8,-71.0,-71.0,57.8,489.9,489.9
58.3,110.3,110.3,-82.1,169.6,169.6
72.7,161.9,161.9,-107.8,-70.6,-70.6
-61.8,95.7,95.7,-44.7,-47.9,-47.9
-74.2,69.9,69.9,-42.1,225.9,225.9
-83.9,42.8,42.8,-19.8,218.4,218.4
111.4,179.1,179.1,-102.5,-224.4,-224.4
-104.7,35.5,35.5,-7.8,186.4,186.4
-50.9,80.4,80.4,-36.1,124.3,124.3
-155.6,51.6,51.6,8.1,46.2,46.2
-191.4,69.9,69.9,7.7,120.4,120.4
-362.6,-9.1,-9.1,71.1,365.5,365.5
-412.2,-21.2,-21.2,93.2,359.8,359.8
-385.9,-80.8,-80.8,119.6,103.5,103.5
-272.1,-76.9,-76.9,67.6,98.4,98.4
-27.9,61.5,61.5,-32.1,-480.0,-480.0
17.1,52.8,52.8,-35.1,-593.5,-593.5
48.5,51.4,51.4,-42.3,-625.5,-625.5
73.2,53.7,53.7,-51.2,-591.0,-591.0
83.1,21.9,21.9,-33.3,-467.4,-467.4
67.3,23.5,23.5,-30.5,-439.7,-439.7
56.5,27.8,27.8,-30.8,-393.7,-393.7
-28.8,8.3,8.3,2.8,-435.8,-435.8
-310.5,-72.0,-72.0,97.2,-457.9,-457.9
-249.7,-1.0,-1.0,64.4,-676.0,-676.0
-230.2,12.3,12.3,55.9,-737.7,-737.7
-326.8,-0.0,-0.0,86.4,-682.8,-682.8
-258.4,6.3,6.3,69.5,-371.2,-371.2
-296.9,-6.6,-6.6,84.4,-305.8,-305.8
-174.3,39.2,39.2,15.0,60.8,60.8
-204.3,38.8,38.8,33.1,7.5,7.5
-92.7,91.9,91.9,-25.0,89.6,89.6
60.3,193.0,193.0,-106.9,129.1,129.1
59.5,197.7,197.7,-109.7,159.4,159.4
2.1,168.7,168.7,-84.5,194.9,194.9
-165.7,72.4,72.4,-10.4,352.2,352.2
-429.1,-55.3,-55.3,117.1,357.8,357.8
-406.2,-78.8,-78.8,106.8,517.2,517.2
-431.5,-104.6,-104.6,112.1,424.0,424.0
-141.0,79.4,79.4,-9.9,-135.9,-135.9
77.0,219.5,219.5,-119.3,-282.1,-282.1
66.1,208.8,208.8,-110.0,-331.9,-331.9
68.2,232.0,232.0,-123.8,-235.0,-235.0
-125.0,186.8,186.8,-66.9,35.5,35.5
-104.3,246.2,246.2,-87.3,143.2,143.2
-124.7,291.8,291.8,-93.2,52.4,52.4
-152.2,318.3,318.3,-92.3,14.7,14.7
-330.8,224.1,224.1,-14.1,174.1,174.1
-211.4,297.2,297.2,-62.3,6.3,6.3
-134.6,321.1,321.1,-92.7,-41.0,-41.0
-136.4,288.5,288.5,-76.4,-106.6,-106.6
-26.0,316.2,316.2,-121.6,-13.2,-13.2
8.5,286.4,286.4,-117.5,-34.9,-34.9
20.5,256.4,256.4,-119.3,165.4,165.4
96.4,272.0,272.0,-142.7,22.0,22.0
146.7,246.2,246.2,-144.8,1.7,1.7
164.5,187.5,187.5,-119.3,-147.0,-147.0
78.7,94.0,94.0,-46.0,-312.4,-312.4
-149.8,-75.1,-75.1,74.7,-113.3,-113.3
-296.6,-194.9,-194.9,149.7,76.5,76.5
-280.9,-241.5,-241.5,148.0,292.9,292.9
-308.6,-230.2,-230.2,156.9,-187.8,-187.8
-143.1,-143.9,-143.9,95.7,-587.1,-587.1
-174.8,-139.3,-139.3,91.8,-635.8,-635.8
-155.4,-125.9,-125.9,79.6,-605.6,-605.6
-170.2,-118.2,-118.2,79.6,-583.5,-583.5
-243.6,-118.6,-118.6,106.2,-684.2,-684.2
-207.3,-91.7,-91.7,76.2,-503.7,-503.7
-188.0,-12.6,-12.6,43.8,-542.4,-542.4
-236.4,53.8,53.8,23.4,-361.6,-361.6
-383.5,48.5,48.5,53.6,-101.0,-101.0
-668.5,-46.7,-46.7,174.3,-188.8,-188.8
-571.7,34.8,34.8,114.3,-156.6,-156.6
-553.8,45.4,45.4,108.1,-215.0,-215.0
-495.0,121.2,121.2,61.9,-137.9,-137.9
-439.0,168.5,168.5,28.7,-10.7,-10.7
-305.7,189.6,189.6,-18.7,350.4,350.4
-308.6,200.0,200.0,-16.2,285.4,285.4
-282.6,209.2,209.2,-30.1,374.4,374.4
-128.6,259.9,259.9,-87.4,295.6,295.6
-58.3,274.7,274.7,-113.9,328.6,328.6
-115.9,205.1,205.1,-76.7,422.6,422.6
-209.9,137.2,137.2,-24.4,408.1,408.1
-279.1,58.5,58.5,19.6,476.3,476.3
-256.9,44.3,44.3,14.9,486.6,486.6
-297.2,55.8,55.8,21.8,592.3,592.3
-375.4,-4.6,-4.6,67.5,507.1,507.1
74.4,222.7,222.7,-131.7,262.8,262.8
-34.0,183.3,183.3,-91.3,236.7,236.7
-7.1,222.0,222.0,-116.3,297.7,297.7
35.1,287.9,287.9,-136.7,8.7,8.7
-237.9,129.8,129.8,-39.7,388.0,388.0
-142.5,157.8,157.8,-81.0,468.3,468.3
-15.8,191.7,191.7,-127.1,421.7,421.7
112.9,150.7,150.7,-121.0,493.0,493.0
22.9,102.1,102.1,-88.6,300.5,300.5
-78.4,37.9,37.9,-32.0,93.5,93.5
59.2,42.0,42.0,-68.0,-78.8,-78.8
-30.9,-10.1,-10.1,-18.8,-137.7,-137.7
19.7,1.1,1.1,-36.9,-109.4,-109.4
13.4,7.9,7.9,-21.2,-372.9,-372.9
101.2,38.8,38.8,-59.0,-326.9,-326.9
385.5,152.8,152.8,-172.3,-465.8,-465.8
338.3,120.3,120.3,-156.9,-240.2,-240.2
471.4,185.9,185.9,-207.2,-363.2,-363.2
443.2,175.1,175.1,-194.3,-374.9,-374.9
294.2,109.9,109.9,-131.7,-319.5,-319.5
-6.7,-79.3,-79.3,-0.7,123.0,123.0
-16.5,-86.1,-86.1,8.4,-8.2,-8.2
-68.9,-157.9,-157.9,37.5,91.2,91.2
33.7,-60.8,-60.8,-20.8,-462.9,-462.9
239.8,27.9,27.9,-114.3,-441.4,-441.4
199.9,11.7,11.7,-99.5,-460.8,-460.8
228.6,23.6,23.6,-113.5,-434.6,-434.6
190.7,7.6,7.6,-94.8,-472.5,-472.5
140.5,-14.2,-14.2,-69.4,-533.0,-533.0
147.0,-9.2,-9.2,-74.1,-504.1,-504.1
118.6,-7.7,-7.7,-61.8,-574.2,-574.2
131.3,2.2,2.2,-72.1,-502.6,-502.6
-50.2,-100.1,-100.1,8.6,-334.9,-334.9
76.3,-10.0,-10.0,-43.5,-658.0,-658.0
81.6,-20.0,-20.0,-43.2,-650.3,-650.3
77.7,-13.6,-13.6,-44.9,-620.0,-620.0
343.7,135.3,135.3,-180.7,-471.4,-471.4
394.4,162.1,162.1,-213.8,-273.2,-273.2
352.7,135.4,135.4,-201.2,-96.8,-96.8
-13.5,-16.3,-16.3,-26.1,14.0,14.0
149.6,51.6,51.6,-80.8,72.4,72.4
215.9,86.2,86.2,-114.0,177.6,177.6
147.7,42.6,42.6,-87.7,357.3,357.3
-0.6,-35.4,-35.4,-19.2,419.5,419.5
15.0,-22.9,-22.9,-29.7,442.9,442.9
69.7,3.8,3.8,-57.5,470.4,470.4
16.5,-39.3,-39.3,-16.3,270.1,270.1
19.0,-52.6,-52.6,-8.1,321.9,321.9
94.8,-35.4,-35.4,-35.3,274.9,274.9
200.6,24.8,24.8,-77.3,80.1,80.1
282.7,100.8,100.8,-117.4,-248.0,-248.0
280.0,103.1,103.1,-117.0,-241.4,-241.4
322.9,128.5,128.5,-137.5,-242.2,-242.2
324.2,130.2,130.2,-139.8,-201.1,-201.1
325.4,107.9,107.9,-133.2,-57.1,-57.1
363.1,121.7,121.7,-150.8,-31.0,-31.0
317.8,88.2,88.2,-128.4,6.3,6.3
304.7,70.2,70.2,-118.7,-12.8,-12.8
205.3,43.4,43.4,-92.4,-132.9,-132.9
342.7,136.3,136.3,-157.5,-268.1,-268.1
413.3,165.9,165.9,-175.8,-443.7,-443.7
428.3,187.8,187.8,-193.9,-303.2,-303.2
497.8,230.1,230.1,-229.6,-174.5,-174.5
508.2,308.8,308.8,-285.6,75.7,75.7
449.3,312.5,312.5,-274.1,177.6,177.6
404.1,321.1,321.1,-267.7,257.9,257.9
349.0,325.3,325.3,-255.5,299.3,299.3
306.0,331.4,331.4,-247.4,335.4,335.4
223.5,349.3,349.3,-234.2,397.6,397.6
241.8,417.8,417.8,-275.9,606.5,606.5
188.2,449.8,449.8,-278.4,714.7,714.7
76.1,405.1,405.1,-232.4,729.7,729.7
7.9,358.9,358.9,-202.1,820.8,820.8
186.1,475.3,475.3,-287.0,649.0,649.0
140.4,470.0,470.0,-272.3,660.0,660.0
100.7,453.4,453.4,-252.8,622.8,622.8
73.7,449.3,449.3,-244.3,648.9,648.9
97.5,465.7,465.7,-260.9,736.4,736.4
97.3,467.2,467.2,-262.2,758.7,758.7
159.3,494.9,494.9,-294.3,844.9,844.9
140.0,480.3,480.3,-278.9,729.1,729.1
-63.8,348.9,348.9,-180.3,835.7,835.7
42.7,396.5,396.5,-218.0,585.6,585.6
130.9,443.6,443.6,-248.3,344.9,344.9
58.0,401.7,401.7,-207.5,276.9,276.9
21.9,359.9,359.9,-176.9,205.8,205.8
-1.6,294.0,294.0,-137.4,77.6,77.6
218.9,336.6,336.6,-226.8,78.7,78.7
-20.7,175.6,175.6,-103.1,170.2,170.2
4.6,158.7,158.7,-96.5,37.5,37.5
27.2,147.0,147.0,-93.6,-53.7,-53.7
-150.4,15.1,15.1,-4.5,129.3,129.3
-222.6,-38.4,-38.4,37.6,73.1,73.1
-261.8,-62.2,-62.2,64.0,-91.0,-91.0
-238.1,-118.6,-118.6,61.5,97.3,97.3
-158.4,-82.9,-82.9,24.1,-232.0,-232.0
-69.9,-60.6,-60.6,-14.7,-203.4,-203.4
-18.3,-35.7,-35.7,-32.8,-309.4,-309.4
-50.7,-57.4,-57.4,-12.9,-366.7,-366.7
-193.8,-129.9,-129.9,45.3,-247.2,-247.2
-163.2,-119.0,-119.0,34.1,-278.6,-278.6
-333.8,-207.2,-207.2,117.9,-330.2,-330.2
-292.6,-175.1,-175.1,102.2,-472.6,-472.6
-385.2,-215.4,-215.4,148.7,-568.6,-568.6
-414.7,-227.4,-227.4,162.8,-589.4,-589.4
-287.5,-158.3,-158.3,102.6,-612.4,-612.4
-151.5,-81.3,-81.3,44.1,-817.5,-817.5
-16.4,36.0,36.0,-25.1,-1022.7,-1022.7
39.1,84.6,84.6,-68.8,-801.4,-801.4
-135.4,20.5,20.5,-2.9,-618.5,-618.5
-215.3,-2.7,-2.7,18.0,-410.6,-410.6
-370.4,-99.4,-99.4,119.1,-491.1,-491.1
-380.3,-109.6,-109.6,130.4,-487.9,-487.9
-431.7,-142.4,-142.4,160.0,-497.3,-497.3
-594.1,-246.3,-246.3,246.0,-370.4,-370.4
-562.8,-222.7,-222.7,224.8,-361.4,-361.4
-561.0,-202.3,-202.3,217.3,-491.2,-491.2
-466.3,-172.4,-172.4,171.4,-136.9,-136.9
-505.2,-199.4,-199.4,180.9,12.8,12.8
-408.8,-159.6,-159.6,137.9,-29.4,-29.4
-296.8,-124.5,-124.5,89.9,16.7,16.7
-358.6,-159.8,-159.8,109.8,45.5,45.5
-220.5,-85.8,-85.8,49.2,-123.0,-123.0
-172.5,-78.5,-78.5,35.6,-160.7,-160.7
-187.4,-66.4,-66.4,37.4,-202.0,-202.0
-185.4,-58.0,-58.0,30.6,-138.6,-138.6
-159.5,-68.1,-68.1,28.0,-87.8,-87.8
-174.0,-99.4,-99.4,43.9,-92.1,-92.1
-328.2,-197.5,-197.5,120.0,-22.2,-22.2
-214.5,-149.5,-149.5,62.6,129.0,129.0
-120.1,-116.7,-116.7,37.6,6.8,6.8
-219.7,-117.8,-117.8,71.4,-69.3,-69.3
-192.5,-46.6,-46.6,39.7,-82.5,-82.5
-337.8,-71.9,-71.9,77.3,206.3,206.3
-246.6,98.9,98.9,8.4,-153.1,-153.1
-441.0,126.7,126.7,55.7,-47.3,-47.3
-373.9,190.7,190.7,9.4,57.6,57.6
-356.8,198.3,198.3,8.7,-62.7,-62.7
-301.1,171.1,171.1,5.9,-114.0,-114.0
-389.5,101.4,101.4,54.0,-63.7,-63.7
-503.7,50.5,50.5,111.2,-42.9,-42.9
-712.0,-68.8,-68.8,209.4,-2.4,-2.4
-547.9,-35.0,-35.0,138.8,153.4,153.4
-340.5,21.0,21.0,47.9,254.7,254.7
-97.3,144.9,144.9,-50.1,-259.5,-259.5
69.9,208.2,208.2,-122.8,-277.8,-277.8
6.4,176.7,176.7,-98.9,-288.0,-288.0
-29.1,151.5,151.5,-76.6,-330.1,-330.1
-63.4,146.2,146.2,-64.5,-340.4,-340.4
-49.1,151.0,151.0,-71.4,-312.4,-312.4
-4.0,185.6,185.6,-95.7,-337.1,-337.1
31.0,197.2,197.2,-109.6,-338.8,-338.8
35.3,184.6,184.6,-104.4,-372.6,-372.6
-56.2,134.5,134.5,-49.2,-564.8,-564.8
37.9,130.2,130.2,-69.7,-687.2,-687.2
-90.2,57.2,57.2,-9.8,-601.6,-601.6
-14.8,119.6,119.6,-59.7,-469.7,-469.7
-35.8,141.2,141.2,-75.4,-163.6,-163.6
-80.6,190.9,190.9,-80.8,-154.8,-154.8
-143.8,187.9,187.9,-39.2,-50.5,-50.5
-272.7,132.2,132.2,9.3,-24.6,-24.6
-281.4,147.3,147.3,8.8,-55.7,-55.7
-149.4,226.6,226.6,-66.6,117.2,117.2
-281.2,154.8,154.8,-2.5,112.2,112.2
-429.5,74.2,74.2,75.4,146.9,146.9
-505.1,-5.3,-5.3,118.3,242.5,242.5
-323.7,37.1,37.1,38.6,417.9,417.9
-266.2,56.9,56.9,16.8,324.7,324.7
54.4,218.2,218.2,-125.5,155.5,155.5
101.4,257.9,257.9,-144.0,-82.6,-82.6
85.3,261.9,261.9,-137.6,-143.1,-143.1
60.1,252.6,252.6,-126.6,-144.3,-144.3
31.6,222.5,222.5,-112.5,-41.7,-41.7
114.7,252.9,252.9,-140.6,-169.6,-169.6
130.8,269.2,269.2,-144.9,-219.7,-219.7
164.4,287.6,287.6,-165.0,-144.2,-144.2
117.6,267.4,267.4,-140.8,-209.7,-209.7
76.2,263.6,263.6,-127.7,-207.0,-207.0
173.0,290.3,290.3,-165.0,-249.4,-249.4
126.2,291.6,291.6,-154.8,-177.4,-177.4
41.2,299.9,299.9,-130.0,-210.0,-210.0
25.2,322.4,322.4,-138.4,-71.2,-71.2
-78.4,259.1,259.1,-92.9,85.2,85.2
-421.0,47.7,47.7,71.1,119.6,119.6
-427.6,44.3,44.3,73.6,-3.1,-3.1
-300.2,132.4,132.4,-7.6,250.9,250.9
-262.2,180.0,180.0,-31.4,170.9,170.9
-331.9,145.8,145.8,-3.7,259.9,259.9
-398.5,88.8,88.8,30.9,342.4,342.4
-634.3,-73.7,-73.7,145.1,692.9,692.9
-696.5,-140.9,-140.9,181.5,555.6,555.6
-590.0,-116.0,-116.0,144.2,451.6,451.6
-555.6,-63.7,-63.7,121.0,318.7,318.7
-356.9,85.7,85.7,14.9,34.6,34.6
-424.1,34.6,34.6,51.9,56.4,56.4
-287.2,89.4,89.4,3.3,-128.2,-128.2
-252.5,96.8,96.8,-9.6,-113.4,-113.4
-354.1,-12.1,-12.1,73.7,-7.7,-7.7
-404.5,-17.0,-17.0,83.6,128.7,128.7
-500.7,-20.2,-20.2,104.3,293.7,293.7
-591.9,-25.9,-25.9,121.1,510.8,510.8
-557.7,62.7,62.7,90.9,292.1,292.1
-407.2,103.1,103.1,23.7,436.8,436.8
-214.0,213.3,213.3,-58.9,219.3,219.3
-406.6,107.6,107.6,39.0,177.2,177.2
-365.2,110.7,110.7,28.4,174.3,174.3
-383.4,89.5,89.5,38.3,247.0,247.0
-473.1,85.2,85.2,71.4,392.6,392.6
-312.2,191.5,191.5,-16.8,328.3,328.3
-323.8,177.9,177.9,-10.6,389.9,389.9
-345.2,142.8,142.8,5.6,452.7,452.7
-443.5,88.5,88.5,48.8,544.9,544.9
-498.0,55.2,55.2,78.0,510.1,510.1
-679.2,-67.7,-67.7,180.4,382.2,382.2
-587.1,-59.9,-59.9,152.7,324.5,324.5
-651.0,-102.6,-102.6,195.9,258.5,258.5
-547.2,-68.9,-68.9,152.5,249.1,249.1
-538.6,-71.6,-71.6,152.6,214.1,214.1
-450.7,-53.2,-53.2,127.1,97.8,97.8
-381.8,-22.7,-22.7,103.5,-26.7,-26.7
-333.6,30.6,30.6,70.0,-9.1,-9.1
-351.2,40.5,40.5,70.1,6.4,6.4
-478.9,-28.9,-28.9,111.0,259.7,259.7
-623.6,-64.2,-64.2,168.5,353.9,353.9
-677.6,-65.6,-65.6,185.3,315.8,315.8
-659.1,-57.1,-57.1,177.7,276.4,276.4
-671.1,-135.5,-135.5,207.7,303.9,303.9
-630.3,-116.1,-116.1,192.4,257.3,257.3
-677.1,-118.9,-118.9,213.1,171.2,171.2
-659.8,-93.7,-93.7,192.5,321.5,321.5
-584.7,-64.0,-64.0,155.2,278.1,278.1
-527.5,-46.8,-46.8,123.1,442.6,442.6
-510.8,-27.4,-27.4,113.5,428.5,428.5
-387.3,59.1,59.1,55.0,286.8,286.8
-353.0,82.0,82.0,32.1,384.9,384.9
-636.2,-73.7,-73.7,167.6,428.2,428.2
-620.7,-82.5,-82.5,170.5,350.4,350.4
-559.5,-85.8,-85.8,158.8,259.7,259.7
-565.7,-123.4,-123.4,171.7,303.0,303.0
-672.9,-184.6,-184.6,235.1,241.2,241.2
-662.0,-192.5,-192.5,239.2,121.6,121.6
-674.0,-184.3,-184.3,239.4,108.3,108.3
-709.7,-168.6,-168.6,240.7,162.6,162.6
-624.7,-109.2,-109.2,187.2,133.8,133.8
-605.8,-83.0,-83.0,178.1,26.5,26.5
-531.0,-48.6,-48.6,151.6,-104.0,-104.0
-559.9,-67.4,-67.4,171.3,-185.4,-185.4
-552.4,-129.9,-129.9,177.3,98.1,98.1
-616.2,-161.5,-161.5,213.6,98.7,98.7
-727.3,-154.9,-154.9,226.3,207.1,207.1
-662.2,-156.5,-156.5,212.9,79.2,79.2
-577.4,-158.6,-158.6,192.5,39.0,39.0
-464.6,-148.1,-148.1,160.8,-11.4,-11.4
-406.7,-149.3,-149.3,159.4,-73.8,-73.8
-395.5,-165.5,-165.5,153.8,103.1,103.1
-529.9,-231.7,-231.7,211.5,80.5,80.5
-492.9,-217.7,-217.7,203.8,106.5,106.5
-256.3,-81.9,-81.9,97.0,-91.2,-91.2
-134.0,-25.8,-25.8,37.5,-17.5,-17.5
-287.1,-111.8,-111.8,109.0,49.9,49.9
-373.0,-172.8,-172.8,149.1,157.2,157.2
-328.3,-197.8,-197.8,123.8,512.3,512.3
-266.2,-187.8,-187.8,107.2,349.1,349.1
