MVL380_gen,MVL380_exp,SMH380_gen,MVL380_wind,BWK380_load,CST380_load,KIJ380_load,MVL380_load,WL380W_load,WL380Z_load,WTR380_load,SMH380_load
-2333.1,1000.0,-203.2,-6.300000000000125,321.9,702.5999999999999,-221.70000000000002,443.8,168.0,86.0,375.29999999999995,232.8
-2320.1,1000.0,-203.2,-2.9000000000002615,304.5,664.2,-253.5,419.6,158.8,81.3,354.9,220.1
-2141.4,1000.0,0.0,-2.7000000000000455,279.9,610.8,-297.6,386.0,146.0,74.8,326.4,202.5
-2141.4,1000.0,0.0,-5.4000000000002615,266.70000000000005,581.7,-321.9,367.6,139.2,71.3,310.79999999999995,192.8
-1899.6999999999998,1000.0,0.0,-9.300000000000182,232.20000000000002,507.0,-384.0,320.2,121.2,62.1,270.9,168.0
-1060.3,0.0,0.0,-10.799999999999955,209.39999999999998,456.59999999999997,-425.70000000000005,288.4,109.2,55.9,243.89999999999998,151.3
-1060.5,41.3,0.0,-13.599999999999909,198.29999999999998,432.59999999999997,-445.79999999999995,273.2,103.4,53.0,231.0,143.3
-1060.3,0.0,0.0,-17.900000000000034,198.89999999999998,433.79999999999995,-444.90000000000003,274.0,103.8,53.1,231.60000000000002,143.7
-1060.3,-945.8,0.0,-30.0,200.39999999999998,437.09999999999997,-442.20000000000005,276.0,104.6,53.5,233.39999999999998,144.8
-1060.5,-1000.0,0.0,-48.09999999999991,204.89999999999998,446.70000000000005,-433.79999999999995,282.4,106.8,54.7,238.79999999999998,148.1
-1777.1,-1000.0,0.0,-75.40000000000009,230.39999999999998,502.5,-387.59999999999997,317.6,120.2,61.5,268.5,166.5
-2078.8,-1000.0,0.0,-116.59999999999991,269.1,586.8,-317.70000000000005,370.8,140.4,71.9,313.5,194.5
-2155.5,0.0,-81.3,-147.40000000000026,312.29999999999995,681.5999999999999,-239.10000000000002,430.6,163.0,83.5,364.20000000000005,225.9
-2232.2000000000003,1000.0,-162.6,-163.29999999999998,327.9,715.2,-211.20000000000002,451.8,171.0,87.6,382.20000000000005,237.0
-2232.2000000000003,1000.0,-162.6,-172.6000000000001,330.0,720.0,-207.0,454.8,172.2,88.2,384.59999999999997,238.6
-2232.2000000000003,1000.0,-162.6,-172.10000000000016,332.70000000000005,725.7,-202.20000000000002,458.6,173.6,88.9,387.90000000000003,240.5
-2145.2,1000.0,-284.5,-178.30000000000007,326.1,711.3,-214.20000000000002,449.4,170.2,87.1,380.1,235.8
-2263.3999999999996,1000.0,-284.5,-114.2000000000001,327.9,715.5,-210.60000000000002,452.0,171.2,87.6,382.20000000000005,237.1
-2299.6,1000.0,-284.5,-71.09999999999997,325.5,710.4000000000001,-215.10000000000002,448.8,169.8,87.0,379.5,235.4
-2296.6,1000.0,-284.5,-60.399999999999864,324.0,706.8,-217.79999999999998,446.6,169.0,86.6,377.70000000000005,234.3
-2308.9,1000.0,-243.9,-44.90000000000012,329.4,718.5,-208.5,453.8,171.8,88.0,384.0,238.1
-2308.9,1000.0,-243.9,-26.79999999999987,342.29999999999995,746.7,-184.8,471.8,178.6,91.5,399.0,247.5
-2274.6,1000.0,-243.9,-18.90000000000012,321.9,702.5999999999999,-221.70000000000002,443.8,168.0,86.0,375.29999999999995,232.8
-2308.9,1000.0,-243.9,-10.200000000000188,312.0,680.7,-239.70000000000002,430.0,162.8,83.4,363.6,225.5
-2155.5,1000.0,-81.3,-2.50000000000027,294.9,643.5,-270.6,406.6,154.0,78.8,343.79999999999995,213.3
-2155.5,1000.0,-81.3,0.20000000000000284,276.0,602.4000000000001,-304.79999999999995,380.6,144.0,73.8,321.9,199.6
-2155.5,1000.0,-81.3,-2.999999999999986,243.60000000000002,531.5999999999999,-363.6,335.8,127.2,65.1,284.1,176.1
-1770.3,1000.0,-81.3,-12.100000000000009,235.5,514.2,-378.0,324.8,123.0,63.0,274.79999999999995,170.4
-1516.8999999999999,1000.0,0.0,-31.700000000000102,204.89999999999998,447.0,-433.79999999999995,282.4,106.8,54.7,238.79999999999998,148.1
